interface removed, generator,# affected nodes, solution, # reachable nodes, interface included, # interface exposed, # violated policies, # nodes exposed, # host exposed
r2:GigabitEthernet2/0, complete,5, base, 18, 1, 108, 17,9, 9
r2:GigabitEthernet2/0, complete,5, empty, 0, 0, 0, 0,0, 5
r2:GigabitEthernet2/0, complete,5, neighbor, 4, 0, 37, 11,2, 5
r2:GigabitEthernet2/0, complete,5, heimdall, 11, 1, 57, 17,6, 5
r2:GigabitEthernet2/0, complete,5, heimdall_end_nodes, 11, 1, 57, 17,6, 5
r2:GigabitEthernet2/0, random-2,2, base, 18, 1, 108, 17,9, 9
r2:GigabitEthernet2/0, random-2,2, empty, 0, 0, 0, 0,0, 2
r2:GigabitEthernet2/0, random-2,2, neighbor, 2, 0, 20, 8,1, 3
r2:GigabitEthernet2/0, random-2,2, heimdall, 11, 1, 57, 17,6, 5
r2:GigabitEthernet2/0, random-2,2, heimdall_end_nodes, 11, 1, 57, 17,6, 5
isp:GigabitEthernet1/0, complete,5, base, 18, 1, 108, 6,9, 9
isp:GigabitEthernet1/0, complete,5, empty, 0, 0, 0, 0,0, 5
isp:GigabitEthernet1/0, complete,5, neighbor, 4, 0, 37, 2,2, 5
isp:GigabitEthernet1/0, complete,5, heimdall, 9, 1, 47, 2,4, 5
isp:GigabitEthernet1/0, complete,5, heimdall_end_nodes, 9, 1, 47, 2,4, 5
isp:GigabitEthernet1/0, random-2,2, base, 18, 1, 108, 6,9, 9
isp:GigabitEthernet1/0, random-2,2, empty, 0, 0, 0, 0,0, 2
isp:GigabitEthernet1/0, random-2,2, neighbor, 2, 0, 20, 0,1, 3
isp:GigabitEthernet1/0, random-2,2, heimdall, 9, 1, 47, 2,4, 5
isp:GigabitEthernet1/0, random-2,2, heimdall_end_nodes, 9, 1, 47, 2,4, 5
