interface removed, # affected nodes, solution, # reachable nodes, interface included, # interface exposed, # violated policies
as1border1:Loopback0, 15, empty, 0, 0, 0, 0
as1border1:Loopback0, 15, neighbor, 8, 0, 41, 53
as1border1:Loopback0, 15, crystal-net, 11, 1, 55, 58
as1border1:Loopback0, 15, heimdall, 13, 1, 65, 60
as1border1:Loopback0, 15, heimdall_interface, 38, 0, 37, 35
as1border1:Loopback0, 15, heimdall_end_nodes, 13, 1, 65, 60
as1border1:Loopback0, 15, heimdall_intersect, 6, 1, 28, 35
as1border1:Loopback0, 15, heimdall_intersect2, 13, 1, 65, 60
as1border1:Loopback0, 15, heimdall_intersect3, 8, 1, 38, 45
as1border1:Loopback0, 15, heimdall_intersect4, 12, 1, 60, 60
as2dist1:GigabitEthernet1/0, 6, base, 13, 1, 65, 70
as2dist1:GigabitEthernet1/0, 6, empty, 0, 0, 0, 0
as2dist1:GigabitEthernet1/0, 6, neighbor, 5, 1, 28, 49
as2dist1:GigabitEthernet1/0, 6, crystal-net, 7, 1, 38, 53
as2dist1:GigabitEthernet1/0, 6, heimdall, 13, 1, 65, 70
as2dist1:GigabitEthernet1/0, 6, heimdall_interface, 34, 0, 33, 54
as2dist1:GigabitEthernet1/0, 6, heimdall_end_nodes, 13, 1, 65, 70
as2dist1:GigabitEthernet1/0, 6, heimdall_intersect, 1, 0, 6, 5
as2dist1:GigabitEthernet1/0, 6, heimdall_intersect2, 13, 1, 65, 70
as2dist1:GigabitEthernet1/0, 6, heimdall_intersect3, 13, 1, 65, 70
as2dist1:GigabitEthernet1/0, 6, heimdall_intersect4, 13, 1, 65, 70
as3core1:GigabitEthernet1/0, 17, base, 13, 1, 65, 62
as3core1:GigabitEthernet1/0, 17, empty, 0, 0, 0, 0
as3core1:GigabitEthernet1/0, 17, neighbor, 9, 1, 47, 57
as3core1:GigabitEthernet1/0, 17, crystal-net, 12, 1, 61, 62
as3core1:GigabitEthernet1/0, 17, heimdall, 13, 1, 65, 62
as3core1:GigabitEthernet1/0, 17, heimdall_interface, 37, 0, 36, 37
as3core1:GigabitEthernet1/0, 17, heimdall_end_nodes, 13, 1, 65, 62
as3core1:GigabitEthernet1/0, 17, heimdall_intersect, 4, 0, 19, 35
as3core1:GigabitEthernet1/0, 17, heimdall_intersect2, 13, 1, 65, 62
as3core1:GigabitEthernet1/0, 17, heimdall_intersect3, 8, 0, 38, 50
as3core1:GigabitEthernet1/0, 17, heimdall_intersect4, 13, 1, 65, 62
as2dist2:GigabitEthernet2/0, 7, base, 13, 1, 65, 70
as2dist2:GigabitEthernet2/0, 7, empty, 0, 0, 0, 0
as2dist2:GigabitEthernet2/0, 7, neighbor, 5, 1, 28, 48
as2dist2:GigabitEthernet2/0, 7, crystal-net, 7, 1, 38, 53
as2dist2:GigabitEthernet2/0, 7, heimdall, 13, 1, 65, 70
as2dist2:GigabitEthernet2/0, 7, heimdall_interface, 34, 0, 33, 45
as2dist2:GigabitEthernet2/0, 7, heimdall_end_nodes, 13, 1, 65, 70
as2dist2:GigabitEthernet2/0, 7, heimdall_intersect, 1, 0, 6, 28
as2dist2:GigabitEthernet2/0, 7, heimdall_intersect2, 13, 1, 65, 70
as2dist2:GigabitEthernet2/0, 7, heimdall_intersect3, 13, 1, 65, 70
as2dist2:GigabitEthernet2/0, 7, heimdall_intersect4, 13, 1, 65, 70
as1border1:GigabitEthernet0/0, 15, base, 13, 1, 65, 60
as1border1:GigabitEthernet0/0, 15, empty, 0, 0, 0, 0
as1border1:GigabitEthernet0/0, 15, neighbor, 8, 0, 41, 53
as1border1:GigabitEthernet0/0, 15, crystal-net, 10, 0, 51, 58
as1border1:GigabitEthernet0/0, 15, heimdall, 12, 0, 61, 60
as1border1:GigabitEthernet0/0, 15, heimdall_interface, 35, 0, 34, 35
as1border1:GigabitEthernet0/0, 15, heimdall_end_nodes, 12, 0, 61, 60
as1border1:GigabitEthernet0/0, 15, heimdall_intersect, 4, 0, 20, 32
as1border1:GigabitEthernet0/0, 15, heimdall_intersect2, 12, 0, 61, 60
as1border1:GigabitEthernet0/0, 15, heimdall_intersect3, 6, 0, 30, 42
as1border1:GigabitEthernet0/0, 15, heimdall_intersect4, 10, 0, 52, 57
as2core2:GigabitEthernet1/0, 6, base, 13, 1, 65, 70
as2core2:GigabitEthernet1/0, 6, empty, 0, 0, 0, 0
as2core2:GigabitEthernet1/0, 6, neighbor, 5, 1, 28, 53
as2core2:GigabitEthernet1/0, 6, crystal-net, 7, 1, 38, 53
as2core2:GigabitEthernet1/0, 6, heimdall, 13, 1, 65, 70
as2core2:GigabitEthernet1/0, 6, heimdall_interface, 33, 0, 32, 54
as2core2:GigabitEthernet1/0, 6, heimdall_end_nodes, 13, 1, 65, 70
as2core2:GigabitEthernet1/0, 6, heimdall_intersect, 13, 1, 65, 70
as2core2:GigabitEthernet1/0, 6, heimdall_intersect2, 13, 1, 65, 70
as2core2:GigabitEthernet1/0, 6, heimdall_intersect3, 13, 1, 65, 70
as2core2:GigabitEthernet1/0, 6, heimdall_intersect4, 13, 1, 65, 70
as3core1:Loopback0, 2, base, 13, 1, 65, 62
as3core1:Loopback0, 2, empty, 0, 0, 0, 0
as3core1:Loopback0, 2, neighbor, 3, 1, 15, 19
as3core1:Loopback0, 2, crystal-net, 4, 1, 19, 21
as3core1:Loopback0, 2, heimdall, 13, 1, 65, 62
as3core1:Loopback0, 2, heimdall_interface, 28, 0, 27, 33
as3core1:Loopback0, 2, heimdall_end_nodes, 8, 1, 38, 37
as3core1:Loopback0, 2, heimdall_intersect, 8, 1, 38, 37
as3core1:Loopback0, 2, heimdall_intersect2, 8, 1, 38, 37
as3core1:Loopback0, 2, heimdall_intersect3, 8, 1, 38, 37
as3core1:Loopback0, 2, heimdall_intersect4, 8, 1, 38, 37
as2border2:GigabitEthernet0/0, 14, base, 13, 1, 65, 66
as2border2:GigabitEthernet0/0, 14, empty, 0, 0, 0, 0
as2border2:GigabitEthernet0/0, 14, neighbor, 8, 0, 43, 59
as2border2:GigabitEthernet0/0, 14, crystal-net, 11, 1, 57, 64
as2border2:GigabitEthernet0/0, 14, heimdall, 13, 1, 65, 66
as2border2:GigabitEthernet0/0, 14, heimdall_interface, 36, 0, 35, 41
as2border2:GigabitEthernet0/0, 14, heimdall_end_nodes, 13, 1, 65, 66
as2border2:GigabitEthernet0/0, 14, heimdall_intersect, 4, 0, 19, 35
as2border2:GigabitEthernet0/0, 14, heimdall_intersect2, 13, 1, 65, 66
as2border2:GigabitEthernet0/0, 14, heimdall_intersect3, 6, 0, 29, 45
as2border2:GigabitEthernet0/0, 14, heimdall_intersect4, 10, 1, 51, 60
as1border2:GigabitEthernet0/0, 5, base, 13, 1, 65, 70
as1border2:GigabitEthernet0/0, 5, empty, 0, 0, 0, 0
as1border2:GigabitEthernet0/0, 5, neighbor, 4, 1, 19, 31
as1border2:GigabitEthernet0/0, 5, crystal-net, 6, 1, 27, 35
as1border2:GigabitEthernet0/0, 5, heimdall, 13, 1, 65, 70
as1border2:GigabitEthernet0/0, 5, heimdall_interface, 33, 0, 32, 45
as1border2:GigabitEthernet0/0, 5, heimdall_end_nodes, 9, 1, 43, 50
as1border2:GigabitEthernet0/0, 5, heimdall_intersect, 0, 0, 0, 0
as1border2:GigabitEthernet0/0, 5, heimdall_intersect2, 9, 1, 43, 50
as1border2:GigabitEthernet0/0, 5, heimdall_intersect3, 9, 1, 43, 50
as1border2:GigabitEthernet0/0, 5, heimdall_intersect4, 9, 1, 43, 50
as2dept1:GigabitEthernet2/0, 17, base, 13, 1, 65, 56
as2dept1:GigabitEthernet2/0, 17, empty, 0, 0, 0, 0
as2dept1:GigabitEthernet2/0, 17, neighbor, 9, 1, 47, 51
as2dept1:GigabitEthernet2/0, 17, crystal-net, 13, 1, 65, 56
as2dept1:GigabitEthernet2/0, 17, heimdall, 13, 1, 65, 56
as2dept1:GigabitEthernet2/0, 17, heimdall_interface, 37, 0, 36, 31
as2dept1:GigabitEthernet2/0, 17, heimdall_end_nodes, 13, 1, 65, 56
as2dept1:GigabitEthernet2/0, 17, heimdall_intersect, 0, 0, 0, 0
as2dept1:GigabitEthernet2/0, 17, heimdall_intersect2, 13, 1, 65, 56
as2dept1:GigabitEthernet2/0, 17, heimdall_intersect3, 11, 1, 53, 46
as2dept1:GigabitEthernet2/0, 17, heimdall_intersect4, 13, 1, 65, 56
as2dist2:GigabitEthernet0/0, 6, base, 13, 1, 65, 70
as2dist2:GigabitEthernet0/0, 6, empty, 0, 0, 0, 0
as2dist2:GigabitEthernet0/0, 6, neighbor, 5, 1, 28, 49
as2dist2:GigabitEthernet0/0, 6, crystal-net, 7, 1, 38, 53
as2dist2:GigabitEthernet0/0, 6, heimdall, 13, 1, 65, 70
as2dist2:GigabitEthernet0/0, 6, heimdall_interface, 34, 0, 33, 54
as2dist2:GigabitEthernet0/0, 6, heimdall_end_nodes, 13, 1, 65, 70
as2dist2:GigabitEthernet0/0, 6, heimdall_intersect, 1, 0, 6, 5
as2dist2:GigabitEthernet0/0, 6, heimdall_intersect2, 13, 1, 65, 70
as2dist2:GigabitEthernet0/0, 6, heimdall_intersect3, 13, 1, 65, 70
as2dist2:GigabitEthernet0/0, 6, heimdall_intersect4, 13, 1, 65, 70
as3border1:Loopback0, 2, base, 13, 1, 65, 64
as3border1:Loopback0, 2, empty, 0, 0, 0, 0
as3border1:Loopback0, 2, neighbor, 3, 0, 15, 21
as3border1:Loopback0, 2, crystal-net, 4, 1, 19, 23
as3border1:Loopback0, 2, heimdall, 13, 1, 65, 64
as3border1:Loopback0, 2, heimdall_interface, 28, 0, 27, 35
as3border1:Loopback0, 2, heimdall_end_nodes, 8, 1, 38, 39
as3border1:Loopback0, 2, heimdall_intersect, 8, 1, 38, 39
as3border1:Loopback0, 2, heimdall_intersect2, 8, 1, 38, 39
as3border1:Loopback0, 2, heimdall_intersect3, 8, 1, 38, 39
as3border1:Loopback0, 2, heimdall_intersect4, 8, 1, 38, 39
as2core2:GigabitEthernet3/0, 6, base, 13, 1, 65, 70
as2core2:GigabitEthernet3/0, 6, empty, 0, 0, 0, 0
as2core2:GigabitEthernet3/0, 6, neighbor, 5, 1, 28, 49
as2core2:GigabitEthernet3/0, 6, crystal-net, 7, 1, 38, 53
as2core2:GigabitEthernet3/0, 6, heimdall, 13, 1, 65, 70
as2core2:GigabitEthernet3/0, 6, heimdall_interface, 34, 0, 33, 54
as2core2:GigabitEthernet3/0, 6, heimdall_end_nodes, 13, 1, 65, 70
as2core2:GigabitEthernet3/0, 6, heimdall_intersect, 13, 1, 65, 70
as2core2:GigabitEthernet3/0, 6, heimdall_intersect2, 13, 1, 65, 70
as2core2:GigabitEthernet3/0, 6, heimdall_intersect3, 13, 1, 65, 70
as2core2:GigabitEthernet3/0, 6, heimdall_intersect4, 13, 1, 65, 70
as1border2:GigabitEthernet2/0, 3, base, 13, 1, 65, 67
as1border2:GigabitEthernet2/0, 3, empty, 0, 0, 0, 0
as1border2:GigabitEthernet2/0, 3, neighbor, 3, 1, 13, 18
as1border2:GigabitEthernet2/0, 3, crystal-net, 4, 1, 17, 18
as1border2:GigabitEthernet2/0, 3, heimdall, 12, 1, 60, 67
as1border2:GigabitEthernet2/0, 3, heimdall_interface, 26, 0, 25, 35
as1border2:GigabitEthernet2/0, 3, heimdall_end_nodes, 8, 1, 38, 47
as1border2:GigabitEthernet2/0, 3, heimdall_intersect, 0, 0, 0, 0
as1border2:GigabitEthernet2/0, 3, heimdall_intersect2, 8, 1, 38, 47
as1border2:GigabitEthernet2/0, 3, heimdall_intersect3, 8, 1, 38, 47
as1border2:GigabitEthernet2/0, 3, heimdall_intersect4, 8, 1, 38, 47
as2core1:Loopback0, 17, base, 13, 1, 65, 41
as2core1:Loopback0, 17, empty, 0, 0, 0, 0
as2core1:Loopback0, 17, neighbor, 9, 1, 47, 36
as2core1:Loopback0, 17, crystal-net, 13, 1, 65, 41
as2core1:Loopback0, 17, heimdall, 13, 1, 65, 41
as2core1:Loopback0, 17, heimdall_interface, 37, 0, 37, 21
as2core1:Loopback0, 17, heimdall_end_nodes, 13, 1, 65, 41
as2core1:Loopback0, 17, heimdall_intersect, 0, 0, 0, 0
as2core1:Loopback0, 17, heimdall_intersect2, 13, 1, 65, 41
as2core1:Loopback0, 17, heimdall_intersect3, 5, 0, 26, 19
as2core1:Loopback0, 17, heimdall_intersect4, 13, 1, 65, 41
as2core2:GigabitEthernet2/0, 6, base, 13, 1, 65, 70
as2core2:GigabitEthernet2/0, 6, empty, 0, 0, 0, 0
as2core2:GigabitEthernet2/0, 6, neighbor, 5, 1, 28, 49
as2core2:GigabitEthernet2/0, 6, crystal-net, 7, 1, 38, 53
as2core2:GigabitEthernet2/0, 6, heimdall, 13, 1, 65, 70
as2core2:GigabitEthernet2/0, 6, heimdall_interface, 34, 0, 33, 54
as2core2:GigabitEthernet2/0, 6, heimdall_end_nodes, 13, 1, 65, 70
as2core2:GigabitEthernet2/0, 6, heimdall_intersect, 13, 1, 65, 70
as2core2:GigabitEthernet2/0, 6, heimdall_intersect2, 13, 1, 65, 70
as2core2:GigabitEthernet2/0, 6, heimdall_intersect3, 13, 1, 65, 70
as2core2:GigabitEthernet2/0, 6, heimdall_intersect4, 13, 1, 65, 70
as3border1:GigabitEthernet0/0, 14, base, 13, 1, 65, 62
as3border1:GigabitEthernet0/0, 14, empty, 0, 0, 0, 0
as3border1:GigabitEthernet0/0, 14, neighbor, 8, 0, 43, 55
as3border1:GigabitEthernet0/0, 14, crystal-net, 10, 0, 53, 60
as3border1:GigabitEthernet0/0, 14, heimdall, 12, 0, 61, 62
as3border1:GigabitEthernet0/0, 14, heimdall_interface, 34, 0, 33, 37
as3border1:GigabitEthernet0/0, 14, heimdall_end_nodes, 12, 0, 61, 62
as3border1:GigabitEthernet0/0, 14, heimdall_intersect, 4, 0, 19, 35
as3border1:GigabitEthernet0/0, 14, heimdall_intersect2, 12, 0, 61, 62
as3border1:GigabitEthernet0/0, 14, heimdall_intersect3, 6, 0, 29, 45
as3border1:GigabitEthernet0/0, 14, heimdall_intersect4, 10, 0, 51, 60
as2core1:GigabitEthernet2/0, 6, base, 13, 1, 65, 70
as2core1:GigabitEthernet2/0, 6, empty, 0, 0, 0, 0
as2core1:GigabitEthernet2/0, 6, neighbor, 5, 1, 28, 49
as2core1:GigabitEthernet2/0, 6, crystal-net, 7, 1, 38, 53
as2core1:GigabitEthernet2/0, 6, heimdall, 13, 1, 65, 70
as2core1:GigabitEthernet2/0, 6, heimdall_interface, 34, 0, 33, 54
as2core1:GigabitEthernet2/0, 6, heimdall_end_nodes, 13, 1, 65, 70
as2core1:GigabitEthernet2/0, 6, heimdall_intersect, 7, 1, 38, 53
as2core1:GigabitEthernet2/0, 6, heimdall_intersect2, 13, 1, 65, 70
as2core1:GigabitEthernet2/0, 6, heimdall_intersect3, 13, 1, 65, 70
as2core1:GigabitEthernet2/0, 6, heimdall_intersect4, 13, 1, 65, 70
as2dept1:GigabitEthernet3/0, 17, base, 13, 1, 65, 56
as2dept1:GigabitEthernet3/0, 17, empty, 0, 0, 0, 0
as2dept1:GigabitEthernet3/0, 17, neighbor, 9, 1, 47, 51
as2dept1:GigabitEthernet3/0, 17, crystal-net, 13, 1, 65, 56
as2dept1:GigabitEthernet3/0, 17, heimdall, 13, 1, 65, 56
as2dept1:GigabitEthernet3/0, 17, heimdall_interface, 37, 0, 36, 31
as2dept1:GigabitEthernet3/0, 17, heimdall_end_nodes, 13, 1, 65, 56
as2dept1:GigabitEthernet3/0, 17, heimdall_intersect, 0, 0, 0, 0
as2dept1:GigabitEthernet3/0, 17, heimdall_intersect2, 13, 1, 65, 56
as2dept1:GigabitEthernet3/0, 17, heimdall_intersect3, 11, 1, 53, 46
as2dept1:GigabitEthernet3/0, 17, heimdall_intersect4, 13, 1, 65, 56
as3border1:GigabitEthernet1/0, 14, base, 13, 1, 65, 66
as3border1:GigabitEthernet1/0, 14, empty, 0, 0, 0, 0
as3border1:GigabitEthernet1/0, 14, neighbor, 8, 0, 43, 59
as3border1:GigabitEthernet1/0, 14, crystal-net, 11, 1, 57, 64
as3border1:GigabitEthernet1/0, 14, heimdall, 13, 1, 65, 66
as3border1:GigabitEthernet1/0, 14, heimdall_interface, 35, 0, 34, 41
as3border1:GigabitEthernet1/0, 14, heimdall_end_nodes, 13, 1, 65, 66
as3border1:GigabitEthernet1/0, 14, heimdall_intersect, 4, 0, 19, 35
as3border1:GigabitEthernet1/0, 14, heimdall_intersect2, 13, 1, 65, 66
as3border1:GigabitEthernet1/0, 14, heimdall_intersect3, 6, 0, 29, 45
as3border1:GigabitEthernet1/0, 14, heimdall_intersect4, 10, 0, 51, 60
as2dept1:GigabitEthernet1/0, 9, base, 13, 1, 65, 70
as2dept1:GigabitEthernet1/0, 9, empty, 0, 0, 0, 0
as2dept1:GigabitEthernet1/0, 9, neighbor, 5, 1, 28, 48
as2dept1:GigabitEthernet1/0, 9, crystal-net, 7, 1, 38, 53
as2dept1:GigabitEthernet1/0, 9, heimdall, 13, 1, 65, 70
as2dept1:GigabitEthernet1/0, 9, heimdall_interface, 34, 0, 33, 45
as2dept1:GigabitEthernet1/0, 9, heimdall_end_nodes, 13, 1, 65, 70
as2dept1:GigabitEthernet1/0, 9, heimdall_intersect, 0, 0, 0, 0
as2dept1:GigabitEthernet1/0, 9, heimdall_intersect2, 13, 1, 65, 70
as2dept1:GigabitEthernet1/0, 9, heimdall_intersect3, 9, 1, 43, 55
as2dept1:GigabitEthernet1/0, 9, heimdall_intersect4, 13, 1, 65, 70
as2border1:GigabitEthernet0/0, 15, base, 13, 1, 65, 68
as2border1:GigabitEthernet0/0, 15, empty, 0, 0, 0, 0
as2border1:GigabitEthernet0/0, 15, neighbor, 8, 0, 41, 61
as2border1:GigabitEthernet0/0, 15, crystal-net, 11, 1, 55, 66
as2border1:GigabitEthernet0/0, 15, heimdall, 13, 1, 65, 68
as2border1:GigabitEthernet0/0, 15, heimdall_interface, 37, 0, 36, 43
as2border1:GigabitEthernet0/0, 15, heimdall_end_nodes, 13, 1, 65, 68
as2border1:GigabitEthernet0/0, 15, heimdall_intersect, 4, 0, 20, 32
as2border1:GigabitEthernet0/0, 15, heimdall_intersect2, 13, 1, 65, 68
as2border1:GigabitEthernet0/0, 15, heimdall_intersect3, 6, 0, 30, 42
as2border1:GigabitEthernet0/0, 15, heimdall_intersect4, 10, 1, 52, 57
as2dist1:GigabitEthernet2/0, 7, base, 13, 1, 65, 70
as2dist1:GigabitEthernet2/0, 7, empty, 0, 0, 0, 0
as2dist1:GigabitEthernet2/0, 7, neighbor, 5, 1, 28, 48
as2dist1:GigabitEthernet2/0, 7, crystal-net, 7, 1, 38, 53
as2dist1:GigabitEthernet2/0, 7, heimdall, 13, 1, 65, 70
as2dist1:GigabitEthernet2/0, 7, heimdall_interface, 34, 0, 33, 45
as2dist1:GigabitEthernet2/0, 7, heimdall_end_nodes, 13, 1, 65, 70
as2dist1:GigabitEthernet2/0, 7, heimdall_intersect, 1, 0, 6, 28
as2dist1:GigabitEthernet2/0, 7, heimdall_intersect2, 13, 1, 65, 70
as2dist1:GigabitEthernet2/0, 7, heimdall_intersect3, 13, 1, 65, 70
as2dist1:GigabitEthernet2/0, 7, heimdall_intersect4, 13, 1, 65, 70
as2dept1:Loopback0, 6, base, 13, 1, 65, 70
as2dept1:Loopback0, 6, empty, 0, 0, 0, 0
as2dept1:Loopback0, 6, neighbor, 3, 1, 16, 38
as2dept1:Loopback0, 6, crystal-net, 7, 1, 38, 53
as2dept1:Loopback0, 6, heimdall, 13, 1, 65, 70
as2dept1:Loopback0, 6, heimdall_interface, 31, 0, 30, 45
as2dept1:Loopback0, 6, heimdall_end_nodes, 9, 1, 43, 55
as2dept1:Loopback0, 6, heimdall_intersect, 9, 1, 43, 55
as2dept1:Loopback0, 6, heimdall_intersect2, 9, 1, 43, 55
as2dept1:Loopback0, 6, heimdall_intersect3, 9, 1, 43, 55
as2dept1:Loopback0, 6, heimdall_intersect4, 9, 1, 43, 55
as1core1:GigabitEthernet1/0, 17, base, 13, 1, 65, 60
as1core1:GigabitEthernet1/0, 17, empty, 0, 0, 0, 0
as1core1:GigabitEthernet1/0, 17, neighbor, 9, 1, 47, 55
as1core1:GigabitEthernet1/0, 17, crystal-net, 12, 1, 61, 60
as1core1:GigabitEthernet1/0, 17, heimdall, 13, 1, 65, 60
as1core1:GigabitEthernet1/0, 17, heimdall_interface, 37, 0, 36, 35
as1core1:GigabitEthernet1/0, 17, heimdall_end_nodes, 13, 1, 65, 60
as1core1:GigabitEthernet1/0, 17, heimdall_intersect, 4, 0, 20, 32
as1core1:GigabitEthernet1/0, 17, heimdall_intersect2, 13, 1, 65, 60
as1core1:GigabitEthernet1/0, 17, heimdall_intersect3, 8, 0, 39, 42
as1core1:GigabitEthernet1/0, 17, heimdall_intersect4, 13, 1, 65, 60
as3border2:Loopback0, 2, base, 13, 1, 65, 66
as3border2:Loopback0, 2, empty, 0, 0, 0, 0
as3border2:Loopback0, 2, neighbor, 3, 1, 15, 23
as3border2:Loopback0, 2, crystal-net, 4, 1, 19, 25
as3border2:Loopback0, 2, heimdall, 13, 1, 65, 66
as3border2:Loopback0, 2, heimdall_interface, 28, 0, 27, 37
as3border2:Loopback0, 2, heimdall_end_nodes, 8, 1, 38, 41
as3border2:Loopback0, 2, heimdall_intersect, 8, 1, 38, 41
as3border2:Loopback0, 2, heimdall_intersect2, 8, 1, 38, 41
as3border2:Loopback0, 2, heimdall_intersect3, 8, 1, 38, 41
as3border2:Loopback0, 2, heimdall_intersect4, 8, 1, 38, 41
as2core1:GigabitEthernet1/0, 14, base, 13, 1, 65, 58
as2core1:GigabitEthernet1/0, 14, empty, 0, 0, 0, 0
