interface removed, generator,# affected nodes, solution, # reachable nodes, interface included, # interface exposed, # violated policies, # nodes exposed
as1border2:GigabitEthernet0/0, random-2,2, heimdall_end_nodes, 9, 1, 43, 50,9
as1border2:GigabitEthernet0/0, random-2,2, heimdall_interface, 33, 0, 32, 45,32
as1border2:GigabitEthernet0/0, random-2,2, heimdall_intersect, 1, 0, 6, 28,1
as1border2:GigabitEthernet0/0, random-2,2, heimdall_intersect2, 1, 0, 6, 28,1
as1border2:GigabitEthernet0/0, random-2,2, neighbor, 3, 1, 15, 27,3
as1border2:GigabitEthernet1/0, complete,5, base, 13, 1, 65, 59,13
as1border2:GigabitEthernet1/0, complete,5, crystal-net, 6, 1, 27, 24,6
as1border2:GigabitEthernet1/0, complete,5, empty, 0, 0, 0, 0,0
as1border2:GigabitEthernet1/0, complete,5, heimdall, 11, 1, 56, 54,11
as1border2:GigabitEthernet1/0, complete,5, heimdall_end_nodes, 7, 1, 34, 34,7
as1border2:GigabitEthernet1/0, complete,5, heimdall_interface, 25, 0, 24, 32,24
as1border2:GigabitEthernet1/0, complete,5, heimdall_intersect, 0, 0, 0, 0,0
as1border2:GigabitEthernet1/0, complete,5, heimdall_intersect2, 6, 1, 30, 32,6
as1border2:GigabitEthernet1/0, complete,5, heimdall_intersect3, 6, 1, 30, 32,6
as1border2:GigabitEthernet1/0, complete,5, heimdall_intersect4, 7, 1, 34, 34,7
as1border2:GigabitEthernet1/0, complete,5, neighbor, 4, 1, 19, 20,4
as1border2:GigabitEthernet1/0, random-2,2, base, 13, 1, 65, 59,13
as1border2:GigabitEthernet1/0, random-2,2, crystal-net, 4, 1, 19, 18,4
as1border2:GigabitEthernet1/0, random-2,2, empty, 0, 0, 0, 0,0
as1border2:GigabitEthernet1/0, random-2,2, heimdall, 10, 1, 52, 52,10
as1border2:GigabitEthernet1/0, random-2,2, heimdall_end_nodes, 6, 1, 30, 32,6
as1border2:GigabitEthernet1/0, random-2,2, heimdall_interface, 24, 0, 23, 32,23
as1border2:GigabitEthernet1/0, random-2,2, heimdall_intersect, 5, 1, 25, 32,5
as1border2:GigabitEthernet1/0, random-2,2, heimdall_intersect2, 5, 1, 25, 32,5
as1border2:GigabitEthernet1/0, random-2,2, neighbor, 3, 1, 15, 16,3
as1border2:GigabitEthernet2/0, complete,3, base, 13, 1, 65, 67,13
as1border2:GigabitEthernet2/0, complete,3, crystal-net, 4, 1, 17, 18,4
as1border2:GigabitEthernet2/0, complete,3, empty, 0, 0, 0, 0,0
as1border2:GigabitEthernet2/0, complete,3, heimdall, 12, 1, 60, 67,12
as1border2:GigabitEthernet2/0, complete,3, heimdall_end_nodes, 8, 1, 38, 47,8
as1border2:GigabitEthernet2/0, complete,3, heimdall_interface, 26, 0, 25, 35,25
as1border2:GigabitEthernet2/0, complete,3, heimdall_intersect, 0, 0, 0, 0,0
as1border2:GigabitEthernet2/0, complete,3, heimdall_intersect2, 8, 1, 38, 47,8
